Generator type,Fuel,Year,Country,value
Major power producers,Hydro natural flow,2013,Wales,175.469
Major power producers,Wind,2013,Wales,1199.5196
Major power producers,Solar,2013,Wales,NA
Major power producers,Bioenergy,2013,Wales,0
Major power producers,Other fuels,2013,Wales,0
Major power producers,Hydro pumped storage,2013,Wales,2284.2004
Major power producers,Total major power producers,2013,Wales,36712.0454
Other generators,Coal,2013,Wales,0
Other generators,Oil,2013,Wales,49.4014
Other generators,Gas,2013,Wales,1043.4689
Other generators,Hydro natural flow,2013,Wales,53.0397
Other generators,Wind,2013,Wales,469.4877
Other generators,Solar,2013,Wales,118.6943
Other generators,Shoreline wave and tidal,2013,Wales,0
Other generators,Bioenergy,2013,Wales,622.9863
Other generators,Other fuels,2013,Wales,594.1973
Other generators,Total other generators,2013,Wales,2951.2755
All generating companies,Fossil fuels,2013,Wales,29820.4229
All generating companies,Coal,2013,Wales,11339.0606
All generating companies,Oil,2013,Wales,293.7047
All generating companies,Gas,2013,Wales,18187.6576
All generating companies,Nuclear,2013,Wales,4325.3037
All generating companies,Renewables,2013,Wales,2639.1966
All generating companies,Hydro natural flow,2013,Wales,228.5088
All generating companies,Wind,2013,Wales,1669.0073
All generating companies,Solar,2013,Wales,118.6943
All generating companies,Shoreline wave and tidal,2013,Wales,0
All generating companies,Bioenergy,2013,Wales,622.9863
All generating companies,Other fuels,2013,Wales,594.1973
All generating companies,Pumped storage,2013,Wales,2284.2004
All generating companies,Total all generating companies,2013,Wales,39663.321
Major power producers,Coal,2013,Nothern Ireland,2595.9906
Major power producers,Oil,2013,Nothern Ireland,26.1372
Major power producers,Gas,2013,Nothern Ireland,3457.6153
Major power producers,Nuclear,2013,Nothern Ireland,0
Major power producers,Hydro natural flow,2013,Nothern Ireland,0
Major power producers,Wind,2013,Nothern Ireland,622.4576
Major power producers,Solar,2013,Nothern Ireland,NA
Major power producers,Bioenergy,2013,Nothern Ireland,0
Major power producers,Other fuels,2013,Nothern Ireland,0
Major power producers,Hydro pumped storage,2013,Nothern Ireland,0
Major power producers,Total major power producers,2013,Nothern Ireland,6702.2007
Other generators,Coal,2013,Nothern Ireland,39.2688
Other generators,Oil,2013,Nothern Ireland,37.5713
Other generators,Gas,2013,Nothern Ireland,101.6479
Other generators,Hydro natural flow,2013,Nothern Ireland,21.5935
Other generators,Wind,2013,Nothern Ireland,722.7308
Other generators,Solar,2013,Nothern Ireland,12.6193
Other generators,Shoreline wave and tidal,2013,Nothern Ireland,3.136
Other generators,Bioenergy,2013,Nothern Ireland,134.6538
Other generators,Other fuels,2013,Nothern Ireland,6.5469
Other generators,Total other generators,2013,Nothern Ireland,1079.7683
All generating companies,Fossil fuels,2013,Nothern Ireland,6258.2311
All generating companies,Coal,2013,Nothern Ireland,2635.2594
All generating companies,Oil,2013,Nothern Ireland,63.7084
All generating companies,Gas,2013,Nothern Ireland,3559.2632
All generating companies,Nuclear,2013,Nothern Ireland,0
All generating companies,Renewables,2013,Nothern Ireland,1517.191
All generating companies,Hydro natural flow,2013,Nothern Ireland,21.5935
All generating companies,Wind,2013,Nothern Ireland,1345.1884
All generating companies,Solar,2013,Nothern Ireland,12.6193
All generating companies,Shoreline wave and tidal,2013,Nothern Ireland,3.136
All generating companies,Bioenergy,2013,Nothern Ireland,134.6538
All generating companies,Other fuels,2013,Nothern Ireland,6.5469
All generating companies,Pumped storage,2013,Nothern Ireland,0
All generating companies,Total all generating companies,2013,Nothern Ireland,7781.969
Major power producers,Coal,2013,England,105479.3124
Major power producers,Oil,2013,England,268.2213
Major power producers,Gas,2013,England,58792.2698
Major power producers,Nuclear,2013,England,47783.6924
Major power producers,Hydro natural flow,2013,England,19.5949
Major power producers,Wind,2013,England,12644.2717
Major power producers,Solar,2013,England,NA
Major power producers,Bioenergy,2013,England,8816.3897
Major power producers,Other fuels,2013,England,522.1457
Major power producers,Hydro pumped storage,2013,England,0
Major power producers,Total major power producers,2013,England,234325.8979
Other generators,Coal,2013,England,34.8005
Other generators,Oil,2013,England,801.1686
