"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2021"	"S12000041"	"Angus"	39.513894	0	6.744994	34.415756	0	25.292984	105.967627
"2021"	"S12000035"	"Argyll and Bute"	790.571501	0	494.608164	5.809196	0	0	1290.988861
"2021"	"S12000036"	"City of Edinburgh"	0.19538	0	0	10.48899	0	19.877947	30.562317
"2021"	"S12000005"	"Clackmannanshire"	112.453137	0	0	6.543149	0	0	118.996286
"2021"	"S12000006"	"Dumfries and Galloway"	1537.2135	0	352.640302	12.575141	0	397.779935	2300.208878
"2021"	"S12000042"	"Dundee City"	0.058078	0	0	4.471169	0	0	4.529247
"2021"	"S12000008"	"East Ayrshire"	611.786542	0	1.567488	5.402239	0	0	618.75627
"2021"	"S12000045"	"East Dunbartonshire"	0	0	0	2.671133	0	0	2.671133
"2021"	"S12000010"	"East Lothian"	407.961558	0	0	7.893279	0	0	415.854837
"2021"	"S12000011"	"East Renfrewshire"	564.215698	0	0	2.384873	0	0	566.600571
"2021"	"S12000014"	"Falkirk"	86.413754	0	2.678136	5.023308	0	0	94.115198
"2021"	"S12000047"	"Fife"	185.028896	0	3.178476	31.21095	0	499.4471	718.865422
"2021"	"S12000049"	"Glasgow City"	5.965832	0	0	12.400333	0	45.522314	63.888479
"2021"	"S12000017"	"Highland"	4079.715347	0	2876.153519	17.703686	0	212.799044	7186.371596
"2021"	"S12000018"	"Inverclyde"	52.780537	0	0	1.992874	0	0	54.773411
"2021"	"S12000019"	"Midlothian"	83.577588	0	0	5.522456	0	7.279907	96.379951
"2021"	"S12000020"	"Moray"	1021.446465	0	0.381688	8.175542	0	24.622964	1054.626659
"2021"	"S12000013"	"Na h-Eileanan Siar"	76.962029	0	7.440166	1.019019	0	0	85.421214
"2021"	"S12000021"	"North Ayrshire"	292.384439	0	12.547846	11.928065	0	0	316.86035
"2021"	"S12000050"	"North Lanarkshire"	48.569003	0	0	10.093168	0	84.57281	143.234981
"2021"	"S12000023"	"Orkney Islands"	147.899639	0	0	1.177901	0.5224	0	149.599941
"2021"	"S12000048"	"Perth and Kinross"	483.996251	0	738.771647	17.389819	0	14.495591	1254.653308
"2021"	"S12000038"	"Renfrewshire"	0.027035	0	0	6.849095	0	0	6.87613
"2021"	"S12000026"	"Scottish Borders"	1317.72801	0	1.848597	14.430664	0	13.623847	1347.631117
"2021"	"S12000027"	"Shetland Islands"	35.104365	0	0	0.326764	0	0	35.43113
"2021"	"S12000028"	"South Ayrshire"	1248.545816	0	2.542049	4.49063	0	63.954872	1319.533367
"2021"	"S12000029"	"South Lanarkshire"	2439.162954	0	80.901935	13.600511	0	43.030991	2576.696391
"2021"	"S12000030"	"Stirling"	348.374765	0	273.02913	14.161959	0	31.622831	667.188686
"2021"	"S12000039"	"West Dunbartonshire"	0	0	0	3.292835	0	0	3.292835
"2021"	"S12000040"	"West Lothian"	188.917817	0	0	8.797078	0	0	197.714895
"2022"	"S12000033"	"Aberdeen City"	3.192574	0	0	8.497086	0	0	11.68966
"2022"	"S12000034"	"Aberdeenshire"	1177.247011	0	8.531357	46.953313	0	46.608836	1279.340517
"2022"	"S12000041"	"Angus"	46.019293	0	7.130407	39.773117	0	25.07794	118.000757
"2022"	"S12000035"	"Argyll and Bute"	1062.551764	0	611.721034	6.419803	0	0	1680.692601
"2022"	"S12000036"	"City of Edinburgh"	0.216615	0	0	12.615914	0	21.466474	34.299004
"2022"	"S12000005"	"Clackmannanshire"	139.853417	0	0	7.023036	0	0	146.876454
